name,uri,artist,mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration
feather light melodies,7suV4LZglmw8Kf8JAMHxQU,santpoort,calm,0.949,0.735,0.456,0.878,0.118,-12.937,0.0524,147.97,0.708,0 days 00:03:08.893000
Rained In,19HQQW3lGcT8Yq7svGJnbA,Nathan Kawanishi,calm,0.339,0.491,0.532,0.971,0.257,-9.54,0.0344,65.091,0.102,0 days 00:02:37.884000
Tiger Park,2RKFdXgtbivlmgSGnI7oEz,Lo'fi Boy,calm,0.321,0.621,0.347,0.944,0.319,-15.032,0.0793,87.918,0.804,0 days 00:03:05.696000
Origami,1Iloy9vXDfjeVSwv3qHpbo,Deauxnuts,calm,0.0859,0.773,0.291,0.898,0.117,-15.935,0.0781,80.006,0.601,0 days 00:02:09.887000
Tracy,2wKHx2Bg7AysBPrZ9axL1D,Pontiac Puma,calm,0.714,0.704,0.245,0.717,0.147,-12.954,0.216,90.156,0.19,0 days 00:02:02.667000
First Sip of Coffee,2qnxhWmaZhgckkAwRDKxUm,Jobii,calm,0.402,0.694,0.426,0.919,0.178,-8.516,0.0497,136.011,0.366,0 days 00:02:27.110000
Favorite Sause,2uUNTBmq2VBW1UMJcAqOEn,DJ Garlik,calm,0.374,0.636,0.438,0.837,0.873,-12.56,0.0707,149.981,0.915,0 days 00:01:48.800000
Cherry Tomatoes,2wiH4zVyvCfadVrhGiKDxH,Guustavv,calm,0.842,0.768,0.574,0.926,0.115,-7.573,0.0578,74.997,0.299,0 days 00:02:27.200000
august 20,6oXKWqp0sIbhXv8WPpgPqp,Moody.,calm,0.107,0.748,0.355,0.873,0.239,-12.451,0.093,87.993,0.195,0 days 00:02:21.818000
Unfolding,3uWFLpc5W2stsKLfHNoH12,Hakaisu,calm,0.488,0.766,0.238,0.935,0.124,-11.831,0.0445,105.0,0.394,0 days 00:01:52.014000
Cordon Bleu,3qrGPKnwYrVgucSF6bxsif,G R I Z,calm,0.382,0.713,0.343,0.383,0.26,-12.351,0.0331,112.861,0.389,0 days 00:02:21.442000
Careless,3v1O6lndJhBf7BXgnNs42x,Coastal,calm,0.953,0.618,0.243,0.902,0.0736,-13.537,0.122,90.026,0.321,0 days 00:02:40
5am in cairo,21NHuCeoEJ76SVggMgNsNw,"oh, the joy.",calm,0.937,0.758,0.191,0.937,0.11,-15.904,0.0439,113.972,0.201,0 days 00:02:57.288000
Wanderlust,3bAOlIpMvPmdZod2cBOk1Z,Ghostnaut,calm,0.281,0.728,0.473,0.865,0.153,-7.572,0.0773,76.01,0.549,0 days 00:02:50.921000
